species                                  , label, accuracy          , precision          , recall             , f1                 , mcc                 , mae                , exact_rate         , specificity       , balanced_accuracy
Human (Mammal)                           , v2   , 0.821917808219178 , 0.0                , 0.0                , 0.0                , -0.09771253089275364, 150.0              , 0.0                , 0.9               , 0.45
Human (Mammal - Chr 17)                  , v2   , 0.7088372093023256, 0.04230769230769231, 0.14666666666666667, 0.06567164179104477, -0.06088106964035471, 137.32             , 0.04               , 0.751             , 0.4488333333333333
Mouse (Mammal - Chr 19)                  , v2   , 0.7197851387645479, 0.15               , 0.358974358974359  , 0.21158690176322417, 0.08547606403132138 , 100.43589743589743 , 0.26495726495726496, 0.762             , 0.5604871794871795
Arabidopsis (Plant - Chr 1)              , v2   , 0.7339390006489293, 0.5840821566110398 , 0.8410351201478743 , 0.6893939393939394 , 0.493596943835311   ,  31.059149722735675, 0.7134935304990758 , 0.676             , 0.7585175600739371
Yeast (Fungi - Chr IV)                   , v2   , 0.7420091324200914, 0.5209302325581395 , 0.9180327868852459 , 0.6646884272997032 , 0.5309268570797978  ,  18.688524590163933, 0.8114754098360656 , 0.6740506329113924, 0.7960417098983192
Worm (Nematode - Chr I)                  , v2   , 0.7150455927051672, 0.44851657940663175, 0.8132911392405063 , 0.578177727784027  , 0.42843263453664326 ,  32.94303797468354 , 0.7151898734177216 , 0.684             , 0.7486455696202532
Fruit Fly (Insect - Chr 4)               , v2   , 0.7051971326164874, 0.23308270676691728, 0.8017241379310345 , 0.3611650485436893 , 0.3156625315420056  ,  33.51724137931034 , 0.646551724137931  , 0.694             , 0.7478620689655172
Zebrafish (Fish - Chr 10)                , v2   , 0.6896887159533074, 0.0380952380952381 , 0.42857142857142855, 0.06997084548104957, 0.04433735783153891 ,  91.39285714285714 , 0.32142857142857145, 0.697             , 0.5627857142857142
GUE Human Core Promoter (Chr 22)         , v2   , 0.7418244406196214, 0.06329113924050633, 0.06172839506172839, 0.0625             , -0.0871826337684368 , 140.74074074074073 , 0.06172839506172839, 0.852             , 0.45686419753086416
GUE Human Splice Site (Chr 19)           , v2   , 0.7770398481973435, 0.1684981684981685 , 0.8518518518518519 , 0.28134556574923547, 0.31446122413868527 , 101.44444444444444 , 0.0                , 0.773             , 0.8124259259259259
GUE Mouse TF Binding (Chr 11)            , v2   , 0.7427312775330397, 0.20152091254752852, 0.3925925925925926 , 0.2663316582914573 , 0.14009218941245413 ,  92.55555555555556 , 0.3037037037037037 , 0.79              , 0.5912962962962963
GUE SARS-CoV-2 Variant (Full Genome)     , v2   , 0.5833333333333334, 1.0                , 0.5833333333333334 , 0.7368421052631579 , 0.0                 ,  79.5              , 0.16666666666666666, 0.0               , 0.5833333333333334
GUE Species Classification (E. coli K-12), v2   , 0.6829644879053011, 0.7412060301507538 , 0.59               , 0.6570155902004454 , 0.3776007289034456  ,  68.118            , 0.453              , 0.7815482502651113, 0.6857741251325556
GUE Fruit Fly Regulatory (Chr 3L)        , v2   , 0.7371252882398155, 0.46034816247582205, 0.7906976744186046 , 0.5819070904645477 , 0.44095410309785366 ,  39.75747508305648 , 0.6378737541528239 , 0.721             , 0.7558488372093023
GUE C. elegans Histone (Chr II)          , v2   , 0.7427953890489913, 0.5260504201680672 , 0.8067010309278351 , 0.6368260427263479 , 0.47580905614419433 ,  35.31185567010309 , 0.7036082474226805 , 0.718             , 0.7623505154639175
